"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Marti Noxon";"To the Bone";"United States";"Ellen, a 20-year-old with anorexia nervosa, goes on a harrowing, sometimes funny journey of self-discovery at a group home run by an unusual doctor.";2017;108;"Dramas, Independent Movies";"Lily Collins, Keanu Reeves, Carrie Preston, Lili Taylor, Alex Sharp, Liana Liberato, Brooke Smith, Leslie Bibb, Kathryn Prescott"
"Shree Narayan Singh";"Toilet: Ek Prem Katha";"India";"On her first day of marriage, a woman leaves her husband upon learning his home lacks a toilet, sparking a quixotic quest to acquire modern sanitation.";2017;145;"Comedies, Dramas, International Movies";"Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Atul Srivastava, Anupam Kher, Ayesha Raza Mishra, Mukesh S Bhatt, Shubha Khote, Sudhir Pandey"
"Kyoko Miyake";"Tokyo Idols";"United Kingdom, Canada, Japan";"This documentary follows J-Pop idol Rio and her predominantly middle-aged fans, and their seemingly transactional interactions.";2017;89;"Documentaries, International Movies, Music & Musicals";NA
"Sabrina Rochelle Kalangie";"Too Handsome to Handle";"Indonesia";"Wary of the effects of his good looks on others, a shut-in agrees to attend high school for the first time and meets a girl who's immune to his charm.";2019;106;"Comedies, Dramas, International Movies";"Ari Irham, Nikita Willy, Calvin Jeremy, Rachel Amanda, Dimas Dinang, Tarra Budiman, Marcellino Lafrand, Iis Dahlia"
"Renuka Shahane";"Tribhanga - Tedhi Medhi Crazy";NA;"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.";2021;96;"Dramas, International Movies";"Kajol, Tanvi Azmi, Mithila Palkar, Kunaal Roy Kapur, Vaibhav Tatwawaadi, Kanwaljeet Singh, Manav Gohil, Shweta Mehendale"
"Mana Yasuda";"TUNA GIRL";"Japan";"A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.";2019;90;"Dramas, International Movies";"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu"
"Kim Nguyen";"Two Lovers and a Bear";"Canada";"A troubled couple living near the North Pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past.";2016;95;"Dramas, Independent Movies, Romantic Movies";"Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston"
"Susan Lambert, Stefan Moore";"Tyke Elephant Outlaw";"Australia";"This documentary recounts a 1994 incident in Honolulu in which a circus elephant attacked and killed its trainer, then ran loose on the city streets.";2015;78;"Documentaries, International Movies";NA
"Claire Scanlon";"Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend";"United States";"It's an interactive Kimmy special! Kimmy's getting married, but first she has to foil the Reverend's evil plot. It's your move: What should she do next?";2020;190;"Comedies";"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Daniel Radcliffe, Lauren Adams, Sara Chase, Sol Miranda, Amy Sedaris, Mike Carlsen, Dylan Gelula, Chris Parnell, Heidi Gardner, Jack McBrayer, Zak Orth, Fred Armisen, Johnny Knoxville"
"Cathy Garcia-Molina";"Unexpectedly Yours";"Philippines";"A pair of former batchmates cross paths 30 years later when they wind up as new neighbors, and their reconnection soon blossoms into something more.";2017;121;"Comedies, International Movies, Romantic Movies";"Sharon Cuneta, Robin Padilla, Julia Barretto, Joshua Garcia, John Estrada, Pilar Pilapil, Marissa Delgado, Maritoni Fernandez"
"Brie Larson";"Unicorn Store";"United States";"After failing out of art school and taking a humdrum office job, a whimsical painter gets a chance to fulfill her lifelong dream of adopting a unicorn.";2019;92;"Comedies, Dramas, Independent Movies";"Brie Larson, Samuel L. Jackson, Joan Cusack, Bradley Whitford, Mamoudou Athie, Hamish Linklater, Martha MacIsaac, Karan Soni, Annaleigh Ashford"
"Jennifer Brea";"Unrest";"United Kingdom, United States";"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome.";2017;97;"Documentaries";"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman"
"Linda Otto";"Unspeakable Acts";"United States";"Laurie and Joseph are doctors who interview sexually abused children. With a lot of energy they track down a pedophile who has abused many toddlers.";1990;95;"Dramas";"Jill Clayburgh, Brad Davis, Sam Behrens"
"Zoe Berriatúa";"Up Among  The Stars";"Spain";"A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond.";2018;86;"Dramas, International Movies, Sci-Fi & Fantasy";"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato"
"Ashu Trikha";"Veerey Ki Wedding";"India";"Quick to throw punches in the name of justice, a young man must find a calmer way to win over the pacifist father of the girl he wishes to marry.";2018;130;"Comedies, Dramas, International Movies";"Pulkit Samrat, Yuvika Chaudhry, Jimmy Shergill, Supriya Karnik, Kriti Kharbanda, Satish Kaushik"
"Amanda Micheli";"Vegas Baby";"United States";"A Las Vegas doctor's controversial online contest sees anxious entrants vie for free in vitro fertilization, a procedure rarely covered by insurance.";2016;78;"Documentaries";NA
"Madonna";"W.E.";"United Kingdom";"This glossy ensemble drama juxtaposes the lives of famous divorcée Wallis Simpson and Wally Winthrop, a young 1990s housewife.";2011;119;"Dramas, Romantic Movies";"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle, David Harbour, James Fox, Judy Parfitt, Haluk Bilginer, Geoffrey Palmer, Natalie Dormer"
"Anu Menon";"Waiting";"India";"While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.";2015;94;"Dramas, International Movies";"Naseeruddin Shah, Kalki Koechlin, Rajat Kapoor, Rajeev Ravindranathan, Ratnabali Bhattacharjee, Suhasini, Arjun Mathur"
"Linda Mendoza";"Wanda Sykes: Not Normal";"United States";"Wanda Sykes tackles politics, reality TV, racism and the secret she'd take to the grave in this rollicking, no-holds-barred stand-up special.";2019;66;"Stand-Up Comedy";"Wanda Sykes"
"Syrine Boulanouar, Nekfeu";"Wandering Stars";"France";"Navigating creative pressures and personal upsets, French rapper Nekfeu sets out on a global quest for musical inspiration in this documentary.";2019;95;"Documentaries, International Movies, Music & Musicals";"Nekfeu"
"Marina Zenovich";"Water & Power: A California Heist";"United States";"California residents and farmers face powerful barons in the struggle to secure water rights in this fresh historical account of profit and interests.";2017;78;"Documentaries";NA
"Tiffanie Hsu";"Waterschool";"United States, Brazil, India, Uganda, China";"Six young women, who each live near one of Earth's major rivers, share how the Waterschool environmental education program has impacted their lives.";2018;68;"Documentaries";NA
"Stacie Passon";"We Have Always Lived in the Castle";"United States";"The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune.";2018;95;"Dramas, Thrillers";"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford"
"Reem Kherici";"Wedding Unplanned";"France";"Mathias's girlfriend finds a business card for a wedding planner in his pocket. Suddenly, he's engaged and hiring his lover to plan the big day!";2017;94;"Comedies, International Movies, Romantic Movies";"Reem Kherici, Nicolas Duvauchelle, Julia Piaton, Sylvie Testud, François-Xavier Demaison, Chantal Lauby, Lionnel Astier, Ève Saint-Louis, Victoria Monfort, Amelie Fonlupt"
"Abby Epstein";"Weed the People";"United States";"Buoyed by hopeful experiences with medical marijuana, physicians and parents of children with cancer call for more research of its healing potential.";2018;94;"Documentaries";NA
"Chi Fat Chan";"Weeds on Fire";"Hong Kong";"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.";2016;95;"Dramas, Independent Movies, International Movies";"Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb"
"Megha Ramaswamy";"What Are the Odds?";"India";"When two unlikely friends play hooky from school, accidental encounters and otherworldly events turn their day into a whimsical coming-of-age journey.";2020;92;"Comedies, Dramas, Independent Movies";"Yashaswini Dayama, Karanvir Malhotra, Abhay Deol, Priyanka Bose, Monica Dogra, Sulabha Arya, Manu Rishi Chadha, Ananya Melkote"
"Kim Dong-kyu";"What Happened to Mr. Cha?";"South Korea";"With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.";2021;102;"Comedies, International Movies";"Cha In-pyo, Cho Dal-hwan, Song Jae-ryong"
"Liz Garbus";"What Happened, Miss Simone?";"United States";"Using never-before-heard recordings, rare archival footage and her best-known songs, this is the story of legendary singer and activist Nina Simone.";2015;103;"Documentaries, Music & Musicals";NA
"Rebecca Harrison";"What Makes a Psychopath?";"United Kingdom";"This wide-ranging documentary examines the behaviors considered in a diagnosis of psychopathy and includes nonviolent, successful figures in history.";2017;52;"Documentaries";NA
"Marta Jaenes, Rosa Márquez";"What the F* Is Going On?";"Spain";"Featuring extensive interviews, this documentary takes a critical look at the gender inequality in Spain as the feminist movement aims to shift reality.";2019;87;"Documentaries, International Movies";NA
"Ulrike Kofler";"What We Wanted";"Austria";"A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort — and the family next door only adds to the tension.";2020;93;"Dramas, International Movies";"Lavinia Wilson, Elyas M'Barek, Anna Unterberger, Lukas Spisser, Iva Höpperger, Fedor Teyml, Marta Manduca, Maria Hofstätter, Tina Haller"
"Ritu Sarin, Tenzing Sonam";"When Hari Got Married";"United Kingdom, India, United States";"A small-town taxi driver is arranged to be married, resulting in an intimate look at the clash between modernity and tradition in India.";2013;75;"Documentaries, International Movies";NA
"Heidi Brandenburg, Mathew Orzel";"When Two Worlds Collide";"Peru, United States, United Kingdom";"This documentary takes a hard look at how indigenous peoples clashed violently with the Peruvian government over land and economics in the Amazon.";2016;103;"Documentaries, International Movies";NA
"Elizabeth Wood";"White Girl";"United States";"A college girl romping through New York City in search of cocaine and other highs finds something real to grasp, only to see it potentially slip away.";2016;90;"Dramas, Independent Movies";"Morgan Saylor, Brian 'Sene' Marc, Justin Bartha, Chris Noth, Adrian Martinez, India Menuez, Anthony Ramos, Ralph Rodriguez, Annabelle Dexter-Jones"
"Sabaah Folayan, Damon Davis";"Whose Streets?";"United States";"Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown.";2017;102;"Documentaries";NA
"Milla Harrison-Hansley, Alicky Sussman";"Why Are We Getting So Fat?";"United Kingdom";"A Cambridge geneticist dispels misconceptions about living with obesity and explores why the epidemic continues to expand across the UK and America.";2016;50;"Documentaries";"Giles Yeo"
"Amy Poehler";"Wine Country";"United States";"When longtime friends meet up for a wine-soaked birthday getaway in Napa Valley, their perfectly planned weekend turns messier by the minute.";2019;104;"Comedies";"Amy Poehler, Maya Rudolph, Ana Gasteyer, Rachel Dratch, Paula Pell, Emily Spivey, Tina Fey, Jason Schwartzman"
"Pascale Lamche";"Winnie";"France, Netherlands, South Africa, Finland";"Winnie Mandela speaks about her extraordinary and controversial career, from her early life to her marriage to her ongoing efforts to end apartheid.";2017;85;"Documentaries, International Movies";NA
"Debra Granik";"Winter's Bone";"United States";"In this unflinching noir drama, a resilient teen goes on the trail of her missing, drug-dealing father when his absence threatens the family's safety.";2010;100;"Dramas, Independent Movies";"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt, Sheryl Lee, Lauren Sweetser, Tate Taylor"
"Cosima Spender";"Without Gorky";"United Kingdom";"A filmmaker trains the camera on her own family as she examines the impact her grandfather, troubled artist Arshile Gorky, had on three generations.";2011;80;"Documentaries";NA
"Kate Mulleavy, Laura Mulleavy";"Woodshock";"United States";"Shattered after her mother's death, a woman floats away from reality under the effect of a potent, hallucinatory drug as her life decays into chaos.";2017;101;"Dramas, Independent Movies, Thrillers";"Kirsten Dunst, Joe Cole, Pilou Asbæk, Jack Kilmer, Steph DuVall, Susan Traylor, Joel McCoy, Michael Pavlicek"
"Laura Terruso";"Work It";"United States";"A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.";2020;94;"Comedies";"Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner"
"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama";"XX";"Canada, United States";"This four-part anthology of short horror films features stories that include some traditional themes but all are shown from a female point of view.";2017;81;"Horror Movies";"Natalie Brown, Jonathan Watton, Melanie Lynskey, Lindsay Burdge, Sheila Vand, Casey Adams, Breeda Wool, Angela Trimbur, Morgan Krantz, Christina Kirk, Kyle Allen, Mike Doyle"
"Karen Maine";"Yes, God, Yes";"United States";"A devoutly religious teen grapples with her own sexual awakening, and attends a Catholic school retreat in the hopes of suppressing her newfound urges.";2020;78;"Comedies, Dramas, Independent Movies";"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling"
